"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Bent Over Row (Barbell)",,"Not on smith machine",0,"normal",45,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Bent Over Row (Barbell)",,"Not on smith machine",1,"normal",45,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Bent Over Row (Barbell)",,"Not on smith machine",2,"normal",45,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Bent Over Row (Barbell)",,"Not on smith machine",3,"normal",45,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Bent Over Row (Barbell)",,"Not on smith machine",4,"normal",25,8,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Chest Dip",,"",0,"normal",,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Chest Dip",,"",1,"normal",,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Chest Dip",,"",2,"normal",,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Chest Dip",,"",3,"normal",,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Chest Dip",,"",4,"normal",,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Romanian Deadlift (Barbell)",,"",0,"normal",55,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Romanian Deadlift (Barbell)",,"",1,"normal",55,5,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Romanian Deadlift (Barbell)",,"",2,"normal",60,4,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Pull Up (Assisted)",,"",0,"normal",25,7,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Pull Up (Assisted)",,"",1,"normal",25,7,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Pull Up (Assisted)",,"",2,"normal",25,7,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Face Pull",0,"",0,"normal",25,12,,,
"Strength Workout B","18 Mar 2026, 18:02","18 Mar 2026, 19:16","","Lateral Raise (Dumbbell)",0,"",0,"normal",20,10,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Lat Pulldown (Cable)",,"",0,"normal",120,5,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Lat Pulldown (Cable)",,"",1,"normal",120,6,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Lat Pulldown (Cable)",,"",2,"normal",120,6,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Lat Pulldown (Cable)",,"",3,"normal",120,6,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Lat Pulldown (Cable)",,"",4,"normal",120,5,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Incline Bench Press (Barbell)",,"",0,"normal",45,5,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Incline Bench Press (Barbell)",,"",1,"normal",45,5,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Incline Bench Press (Barbell)",,"",2,"normal",45,5,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Incline Bench Press (Barbell)",,"",3,"normal",45,4,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Incline Bench Press (Barbell)",,"",4,"normal",45,5,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Zercher Squat",,"",0,"normal",35,5,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Zercher Squat",,"",1,"normal",35,5,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Zercher Squat",,"",2,"normal",35,5,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Zercher Squat",,"",3,"normal",40,5,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Lateral Raise (Dumbbell)",0,"",0,"normal",20,10,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Lateral Raise (Dumbbell)",0,"",1,"normal",20,12,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Lateral Raise (Dumbbell)",0,"",2,"normal",20,12,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Lateral Raise (Dumbbell)",0,"",3,"normal",20,10,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Triceps Kickback (Cable)",0,"",0,"normal",12.5,15,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Triceps Kickback (Cable)",0,"",1,"normal",15,15,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Triceps Kickback (Cable)",0,"",2,"normal",15,13,,,
"Full Body Strength A","16 Mar 2026, 17:40","16 Mar 2026, 19:07","","Triceps Kickback (Cable)",0,"",3,"normal",15,10,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Bent Over Row (Barbell)",,"",0,"normal",50,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Bent Over Row (Barbell)",,"",1,"normal",52.5,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Bent Over Row (Barbell)",,"",2,"normal",52.5,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Bent Over Row (Barbell)",,"",3,"normal",52.5,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Bent Over Row (Barbell)",,"",4,"normal",50,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Chest Dip",,"",0,"normal",,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Chest Dip",,"",1,"normal",,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Chest Dip",,"",2,"normal",,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Chest Dip",,"",3,"normal",,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Chest Dip",,"",4,"normal",,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Romanian Deadlift (Barbell)",,"",0,"normal",55,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Romanian Deadlift (Barbell)",,"",1,"normal",55,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Romanian Deadlift (Barbell)",,"",2,"normal",55,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Romanian Deadlift (Barbell)",,"",3,"normal",55,5,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Pull Up (Assisted)",,"",0,"normal",25,7,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Pull Up (Assisted)",,"",1,"normal",25,7,,,
"Strength Workout B","13 Mar 2026, 20:33","13 Mar 2026, 21:39","","Pull Up (Assisted)",,"",2,"normal",25,6,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Lat Pulldown (Cable)",,"",0,"normal",120,6,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Lat Pulldown (Cable)",,"",1,"normal",120,6,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Lat Pulldown (Cable)",,"",2,"normal",120,6,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Lat Pulldown (Cable)",,"",3,"normal",120,5,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Lat Pulldown (Cable)",,"",4,"normal",120,5,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Incline Bench Press (Barbell)",,"",0,"normal",45,5,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Incline Bench Press (Barbell)",,"",1,"normal",47.5,5,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Incline Bench Press (Barbell)",,"",2,"normal",47.5,4,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Incline Bench Press (Barbell)",,"",3,"normal",47.5,4,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Incline Bench Press (Barbell)",,"",4,"normal",45,5,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Zercher Squat",,"",0,"normal",35,5,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Zercher Squat",,"",1,"normal",35,5,,,
"Full Body Strength A","11 Mar 2026, 19:13","11 Mar 2026, 21:00","","Zercher Squat",,"",2,"normal",35,5,,,
